Date,Fentanyl,LSD,Codeine,Morphine,MDMA,Methamphetamine,Xylazine,Oxymorphone,Gabapentin,Kratom,Ketamine,Tramadol,Oxycodone,Hydrocodone,Diphenhydramine
2020-09-28 23:24:34.457313,0,87,274,245,85,0,88,0,29,167,79,82,230,190,158
2020-09-29 23:24:34.457313,0,62,272,261,106,0,69,29,60,189,40,108,231,169,152
2020-09-30 23:24:34.457313,0,89,212,248,45,18,137,1,70,138,76,100,226,213,128
2020-10-01 23:24:34.457313,8,105,290,221,74,23,69,5,18,173,33,133,266,174,117
2020-10-02 23:24:34.457313,27,89,252,284,56,7,97,0,72,208,55,121,232,167,125
2020-10-03 23:24:34.457313,15,107,273,213,84,26,60,9,65,157,60,104,239,186,129
2020-10-04 23:24:34.457313,4,54,277,270,61,5,93,11,49,206,59,114,265,197,156
2020-10-05 23:24:34.457313,1,85,254,220,64,31,39,17,56,192,56,122,251,180,117
2020-10-06 23:24:34.457313,0,86,258,256,85,22,124,0,42,164,56,121,264,190,117
2020-10-07 23:24:34.457313,35,86,269,235,80,0,115,4,26,152,85,78,257,191,129
2020-10-08 23:24:34.457313,15,90,280,232,95,0,39,12,67,200,96,98,221,179,143
2020-10-09 23:24:34.457313,0,80,282,259,64,27,62,33,49,197,62,121,260,227,169
2020-10-10 23:24:34.457313,19,80,236,218,43,0,73,18,23,165,64,117,217,178,137
2020-10-11 23:24:34.457313,0,85,257,240,79,25,83,28,45,181,60,120,261,185,119
2020-10-12 23:24:34.457313,0,58,242,251,57,0,81,0,69,195,50,122,260,185,138
2020-10-13 23:24:34.457313,12,93,273,221,62,0,67,0,64,178,58,115,230,154,143
2020-10-14 23:24:34.457313,5,103,254,246,109,35,59,20,58,173,58,111,264,201,145
2020-10-15 23:24:34.457313,0,92,266,237,75,38,54,0,76,193,71,107,241,190,106
2020-10-16 23:24:34.457313,6,84,250,253,86,0,65,0,73,207,57,132,218,177,128
2020-10-17 23:24:34.457313,0,53,227,243,86,24,81,0,52,188,27,116,199,202,150
2020-10-18 23:24:34.457313,31,84,233,253,126,13,80,0,76,182,74,86,270,162,136
2020-10-19 23:24:34.457313,24,98,254,269,62,19,83,0,50,171,63,75,272,217,152
2020-10-20 23:24:34.457313,0,72,235,244,84,1,91,37,48,153,53,104,251,221,193
2020-10-21 23:24:34.457313,11,88,273,264,114,30,69,0,93,233,69,124,252,189,174
2020-10-22 23:24:34.457313,0,119,269,188,75,0,57,13,35,238,84,113,245,209,103
2020-10-23 23:24:34.457313,0,87,282,254,104,0,97,33,38,184,55,129,199,154,174
2020-10-24 23:24:34.457313,19,82,257,231,77,17,43,0,83,160,77,132,264,191,166
2020-10-25 23:24:34.457313,0,112,259,230,68,43,94,0,50,162,101,141,252,219,138
2020-10-26 23:24:34.457313,0,105,257,248,97,29,73,33,25,199,63,142,235,199,133
2020-10-27 23:24:34.457313,13,124,288,271,95,7,80,0,55,186,72,92,230,176,131
2020-10-28 23:24:34.457313,0,121,257,253,82,14,78,0,35,154,59,115,224,202,131
2020-10-29 23:24:34.457313,25,64,278,173,90,53,75,0,77,186,68,99,278,174,154
2020-10-30 23:24:34.457313,20,51,289,230,60,0,39,0,44,184,68,107,247,206,138
2020-10-31 23:24:34.457313,30,103,269,271,72,0,89,0,40,188,95,148,233,174,165
2020-11-01 23:24:34.457313,47,119,260,231,108,16,79,25,33,192,19,126,205,163,158
2020-11-02 23:24:34.457313,23,138,281,249,123,43,114,5,38,187,102,82,255,204,139
2020-11-03 23:24:34.457313,0,72,247,249,55,0,52,35,83,211,70,113,219,233,139
2020-11-04 23:24:34.457313,36,82,246,263,80,44,82,35,44,173,50,72,273,236,176
2020-11-05 23:24:34.457313,0,93,233,246,89,33,94,12,40,161,73,134,253,173,142
2020-11-06 23:24:34.457313,33,85,249,202,95,16,74,22,42,243,77,148,246,206,130
2020-11-07 23:24:34.457313,6,107,302,267,75,0,25,8,82,202,95,141,231,233,158
2020-11-08 23:24:34.457313,8,82,265,232,94,16,86,25,45,218,78,137,268,197,123
2020-11-09 23:24:34.457313,18,127,244,219,62,36,88,24,90,185,62,103,245,227,108
2020-11-10 23:24:34.457313,16,109,272,242,83,40,100,44,42,163,102,56,225,230,142
2020-11-11 23:24:34.457313,50,70,221,270,103,26,69,11,35,219,96,145,262,201,139
2020-11-12 23:24:34.457313,4,95,284,247,59,0,54,32,42,191,99,123,256,223,134
2020-11-13 23:24:34.457313,24,88,301,231,68,44,77,32,67,188,58,110,228,221,148
2020-11-14 23:24:34.457313,45,89,255,208,100,21,57,45,35,190,76,122,247,193,181
2020-11-15 23:24:34.457313,13,101,294,273,76,25,106,23,25,158,89,170,262,167,149
2020-11-16 23:24:34.457313,24,107,261,223,96,14,71,22,75,203,72,108,275,191,187
2020-11-17 23:24:34.457313,15,71,274,250,58,0,88,0,42,168,79,130,277,219,148
2020-11-18 23:24:34.457313,18,101,242,255,91,36,61,28,32,197,54,139,239,158,167
2020-11-19 23:24:34.457313,27,120,302,239,124,5,108,35,58,191,80,106,261,216,129
2020-11-20 23:24:34.457313,15,78,274,268,80,12,96,0,79,199,85,125,275,185,174
2020-11-21 23:24:34.457313,49,114,315,262,90,40,68,12,81,183,84,116,247,224,138
2020-11-22 23:24:34.457313,0,126,252,258,117,19,79,28,60,173,109,108,233,177,151
2020-11-23 23:24:34.457313,0,105,258,238,152,17,91,65,72,224,58,111,256,187,187
2020-11-24 23:24:34.457313,6,80,286,245,104,8,47,16,66,200,66,95,231,190,148
2020-11-25 23:24:34.457313,20,112,254,242,119,43,70,14,99,195,82,135,244,215,148
2020-11-26 23:24:34.457313,33,119,293,226,81,0,113,0,74,236,97,139,268,266,163
2020-11-27 23:24:34.457313,0,137,289,253,134,25,99,0,38,193,56,143,223,201,186
2020-11-28 23:24:34.457313,32,86,282,261,82,30,95,33,59,217,56,125,243,213,149
2020-11-29 23:24:34.457313,17,120,294,249,139,18,74,13,72,180,87,141,265,228,152
2020-11-30 23:24:34.457313,47,93,279,232,151,17,127,62,73,187,63,116,256,204,166
2020-12-01 23:24:34.457313,30,107,311,281,129,13,117,45,64,205,50,106,243,169,203
2020-12-02 23:24:34.457313,44,93,285,232,101,26,83,49,108,162,122,127,254,174,157
2020-12-03 23:24:34.457313,66,91,275,268,127,5,87,39,98,214,83,122,251,222,151
2020-12-04 23:24:34.457313,52,121,286,278,86,4,116,21,81,204,83,110,293,186,168
2020-12-05 23:24:34.457313,12,107,289,243,102,0,125,0,90,212,71,121,206,183,150
2020-12-06 23:24:34.457313,39,110,299,278,101,36,74,55,55,196,93,109,291,184,165
2020-12-07 23:24:34.457313,66,93,294,238,109,0,93,83,40,181,67,169,270,189,146
2020-12-08 23:24:34.457313,39,94,275,283,121,55,100,23,62,217,95,162,269,199,139
2020-12-09 23:24:34.457313,35,80,311,299,95,35,67,22,72,214,71,148,250,257,184
2020-12-10 23:24:34.457313,33,95,305,238,119,22,122,24,30,217,101,173,240,205,149
2020-12-11 23:24:34.457313,23,125,299,282,102,61,138,38,65,218,99,145,275,258,196
2020-12-12 23:24:34.457313,78,94,313,260,124,49,114,13,94,199,54,149,268,207,149
2020-12-13 23:24:34.457313,34,111,286,253,123,22,120,42,56,168,100,130,280,177,148
2020-12-14 23:24:34.457313,28,126,315,238,139,27,106,17,78,202,70,163,246,181,177
2020-12-15 23:24:34.457313,90,113,309,297,82,22,118,30,58,237,71,135,252,233,201
2020-12-16 23:24:34.457313,23,147,285,252,136,21,103,43,87,184,109,148,269,212,163
2020-12-17 23:24:34.457313,36,136,347,238,119,57,104,52,79,218,99,145,210,220,166
2020-12-18 23:24:34.457313,61,118,293,266,111,30,102,53,89,211,79,159,257,203,159
2020-12-19 23:24:34.457313,44,136,313,225,117,38,128,50,60,167,103,155,268,210,182
2020-12-20 23:24:34.457313,57,98,254,251,136,60,111,32,40,216,115,126,241,211,189
2020-12-21 23:24:34.457313,44,126,320,260,120,52,113,45,74,200,79,145,237,233,167
2020-12-22 23:24:34.457313,20,103,291,270,94,14,90,44,50,189,109,121,253,184,199
2020-12-23 23:24:34.457313,43,91,282,253,132,39,108,56,99,226,92,128,236,212,193
2020-12-24 23:24:34.457313,42,125,304,315,90,75,100,27,27,188,110,167,261,211,189
2020-12-25 23:24:34.457313,77,122,340,257,107,38,90,48,96,197,61,143,306,232,173
2020-12-26 23:24:34.457313,51,153,291,235,105,32,139,68,90,214,105,145,296,203,174
2020-12-27 23:24:34.457313,50,135,313,248,122,54,142,48,57,202,88,121,282,208,210
2020-12-28 23:24:34.457313,56,135,291,273,118,60,113,82,63,196,85,183,283,222,182
2020-12-29 23:24:34.457313,35,127,315,273,121,74,118,65,87,233,133,170,248,157,205
2020-12-30 23:24:34.457313,46,139,284,248,122,57,155,61,66,222,60,144,249,197,176
2020-12-31 23:24:34.457313,32,153,342,284,161,45,120,43,105,225,97,150,283,195,180
2021-01-01 23:24:34.457313,109,163,335,251,160,40,135,53,81,230,64,143,297,215,178
2021-01-02 23:24:34.457313,39,126,309,231,87,26,127,55,48,242,100,177,259,211,175
2021-01-03 23:24:34.457313,52,126,308,272,159,30,131,68,113,204,113,158,268,224,214
2021-01-04 23:24:34.457313,69,163,302,220,116,62,100,81,64,195,73,138,270,162,173
2021-01-05 23:24:34.457313,72,136,325,264,102,23,153,25,53,240,59,166,287,216,189
2021-01-06 23:24:34.457313,46,167,332,303,124,62,92,45,86,253,104,113,249,202,198
2021-01-07 23:24:34.457313,50,136,293,271,152,49,140,50,71,210,77,152,237,222,182
2021-01-08 23:24:34.457313,49,155,319,265,141,40,144,90,54,232,74,152,279,221,199
2021-01-09 23:24:34.457313,18,161,283,274,112,31,148,72,91,219,108,167,282,221,214
2021-01-10 23:24:34.457313,63,137,301,254,125,26,131,42,81,241,76,170,260,176,194
2021-01-11 23:24:34.457313,0,140,318,271,120,78,121,92,72,205,113,169,265,214,207
2021-01-12 23:24:34.457313,45,126,300,263,142,44,126,53,79,210,83,190,281,194,207
2021-01-13 23:24:34.457313,39,151,321,302,169,50,102,57,77,224,73,163,308,246,165
2021-01-14 23:24:34.457313,61,123,308,255,150,46,159,50,42,201,90,162,252,232,183
2021-01-15 23:24:34.457313,48,146,298,275,115,42,135,51,42,210,106,177,282,163,190
2021-01-16 23:24:34.457313,26,136,317,297,116,60,109,67,65,231,148,163,256,233,194
2021-01-17 23:24:34.457313,62,173,358,276,110,46,96,64,70,212,93,144,292,226,188
2021-01-18 23:24:34.457313,67,129,321,288,119,21,138,85,69,207,107,156,268,216,236
2021-01-19 23:24:34.457313,36,147,310,256,119,41,110,75,60,230,110,151,263,218,203
2021-01-20 23:24:34.457313,64,97,311,278,164,49,103,72,38,250,88,151,298,194,165
2021-01-21 23:24:34.457313,53,144,325,239,104,48,160,94,68,264,101,152,299,229,227
2021-01-22 23:24:34.457313,55,115,288,304,121,56,84,86,129,231,81,147,264,213,214
2021-01-23 23:24:34.457313,44,163,282,248,148,74,165,47,91,231,71,130,266,206,179
2021-01-24 23:24:34.457313,71,184,289,263,120,50,130,65,43,229,102,192,276,258,201
2021-01-25 23:24:34.457313,86,127,317,286,125,70,142,86,90,180,81,168,255,240,226
2021-01-26 23:24:34.457313,50,157,328,304,119,67,176,63,94,196,86,156,271,216,221
2021-01-27 23:24:34.457313,59,135,297,305,134,86,152,72,66,249,88,174,277,235,202
2021-01-28 23:24:34.457313,86,124,307,307,100,79,149,38,105,206,119,113,268,178,157
2021-01-29 23:24:34.457313,70,160,319,286,125,20,146,47,24,228,63,179,264,194,205
2021-01-30 23:24:34.457313,53,149,334,253,126,27,108,54,57,251,62,166,270,243,185
2021-01-31 23:24:34.457313,67,135,349,248,127,60,143,81,36,216,70,174,298,191,194
2021-02-01 23:24:34.457313,71,140,315,318,130,104,136,6,54,204,109,140,297,219,176
2021-02-02 23:24:34.457313,52,165,324,264,108,60,96,43,91,192,88,175,265,174,182
